src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.150.233,20.198.162.76,56697,443,6,2022-07-05 15:08:18,2746485.948562622,494.4500082771993,3.6410162612459445,2.184609756747567,1.4564065044983778,6,4,446,912,97.0,54.0,74.33333333333333,16.579773487261182,228.0,228.0,228.0,0.0,228,54,135.8,76.36857992656404,5832.16,120,80,20,2,305165.1053958469,1222642.8985595703,36.95487976074219,428555.6966099436,2746485.948562622,1222679.853439331,81272.12524414062,549297.1897125244,444059.05941955233,2460506.9160461426,1222750.9021759033,310254.8122406006,820168.9720153809,380177.53236462205,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,135.8,514,7676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.33333333333333,228.0,0,6,4,446,912
10.0.150.233,157.240.13.14,49459,443,17,2022-07-05 15:08:16,7909863.9488220215,3516.495375896112,6.321221240151199,3.7927327440907197,2.5284884960604797,30,20,19192,8623,1292.0,75.0,639.7333333333333,557.5923202085512,1274.0,85.0,431.15,460.1437030971955,1292,75,556.3,530.7354237282452,281680.09,240,160,8,30,161425.7948739188,1541975.975036621,0.0,306467.3127642188,7877388.000488281,1541975.975036621,157.1178436279297,271634.06898235454,363012.65954021004,6326313.9724731445,2731418.8480377197,0.0,332963.89328806027,669039.3579407545,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,556.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5074.0,5.0,251.0,4.0,3698.512367187807,65430.09968924798,639.7333333333333,431.15,0,30,20,19192,8623
10.0.150.233,27.0.12.186,59680,53,17,2022-07-05 15:08:24,3063569.0689086914,129.26099953772663,0.9792499964979291,0.6528333309986194,0.3264166654993097,2,1,184,212,92.0,92.0,92.0,0.0,212.0,212.0,212.0,0.0,212,92,132.0,56.568542494923804,3200.0,16,8,8,2,1531784.5344543457,3058049.9172210693,5519.15168762207,1526265.3827667236,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,132.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,212.0,0,2,1,184,212
10.0.150.233,115.79.44.190,59680,53,17,2022-07-05 15:08:24,3018738.9850616455,135.15577266501174,0.9937924460662627,0.6625282973775085,0.33126414868875426,2,1,184,224,92.0,92.0,92.0,0.0,224.0,224.0,224.0,0.0,224,92,136.0,62.22539674441618,3872.0,16,8,8,2,1509369.4925308228,3013373.851776123,5365.133285522461,1504004.3592453003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,136.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,224.0,0,2,1,184,224
10.0.150.233,10.0.0.1,59680,53,17,2022-07-05 15:08:25,2007290.8401489258,91.66583950851317,0.9963678207447084,0.9963678207447084,0.0,2,0,184,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0,2,0,184,0
10.0.150.233,20.189.173.11,57481,443,6,2022-07-05 15:08:27,2815246.105194092,3074.686786362938,7.10417464501603,3.9072960547588167,3.1968785902572137,11,9,3213,5443,1494.0,54.0,292.09090909090907,421.6761908352847,1494.0,60.0,604.7777777777778,640.8617076991429,1494,54,432.8,553.9056417838692,306811.4600000001,220,180,20,5,148170.8476417943,1817812.9196166992,0.0,402894.4679930372,2613811.0160827637,2012404.203414917,0.0,261381.10160827637,590381.2489195984,2620229.0058135986,1817812.9196166992,0.0,327528.6257266998,570843.0903866381,0,0,0,0,1,0,0,0,0,0,0,0.8181818181818182,432.8,64240,2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4451.0,4.0,0.0,4875645.626534343,292.09090909090907,604.7777777777778,0,11,9,3213,5443
10.0.150.233,239.255.255.250,62428,1900,17,2022-07-05 15:08:31,3007449.150085449,288.616683668729,1.3300308003167236,1.3300308003167236,0.0,4,0,868,0,217.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1002483.050028483,1003871.2024688721,1000385.9996795654,1508.5449510891642,3007449.150085449,1003871.2024688721,1000385.9996795654,1002483.050028483,1508.5449510891642,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,4,0,868,0
10.0.150.233,27.0.12.186,51205,53,17,2022-07-05 15:08:34,47245.97930908203,6074.590985244545,42.331644496477665,21.165822248238833,21.165822248238833,1,1,72,215,72.0,72.0,72.0,0.0,215.0,215.0,215.0,0.0,215,72,143.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,143.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,215.0,0,1,1,72,215
10.0.150.233,27.0.12.186,61356,53,17,2022-07-05 15:08:34,323693.99070739746,750.7090244985715,9.268012648130512,6.178675098753675,3.0893375493768374,2,1,157,86,87.0,70.0,78.5,8.5,86.0,86.0,86.0,0.0,87,70,81.0,7.788880963698615,60.666666666666664,16,8,8,2,161846.99535369873,289437.05558776855,34256.935119628906,127590.06023406982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,81.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,86.0,0,2,1,157,86
10.0.150.233,10.0.0.1,51205,53,17,2022-07-05 15:08:34,0.0,0,0,0,0,1,0,72,0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,72,72,72.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,72.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0,1,0,72,0
